2021-05-26 23:17:56.366 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-05-26 23:17:56.398 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19ms. Found 0 Redis repository interfaces.
2021-05-26 23:17:56.918 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2021-05-26 23:17:56.925 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2021-05-26 23:17:56.925 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-05-26 23:17:56.925 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-05-26 23:17:57.020 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-05-26 23:17:57.021 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1527 ms
2021-05-26 23:17:57.424 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-05-26 23:17:58.948 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-05-26 23:17:58.971 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-05-26 23:18:11.698 [main] INFO  com.ccut.eduservice.EduApplication - Starting EduApplication on DESKTOP-I6INUR7 with PID 20132 (E:\working\shopping-center\service\service_edu\target\classes started by jiang in E:\working\shopping-center)
2021-05-26 23:18:11.701 [main] INFO  com.ccut.eduservice.EduApplication - The following profiles are active: dev
2021-05-26 23:18:12.576 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-05-26 23:18:12.579 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-05-26 23:18:12.611 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20ms. Found 0 Redis repository interfaces.
2021-05-26 23:18:13.161 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2021-05-26 23:18:13.169 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2021-05-26 23:18:13.170 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-05-26 23:18:13.170 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-05-26 23:18:13.268 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-05-26 23:18:13.269 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1507 ms
2021-05-26 23:18:13.500 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-05-26 23:18:15.013 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-05-26 23:18:15.020 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-05-26 23:18:27.518 [main] INFO  com.ccut.eduservice.EduApplication - Starting EduApplication on DESKTOP-I6INUR7 with PID 11872 (E:\working\shopping-center\service\service_edu\target\classes started by jiang in E:\working\shopping-center)
2021-05-26 23:18:27.521 [main] INFO  com.ccut.eduservice.EduApplication - The following profiles are active: dev
